net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
4.294874911419203e-05,0.1352385090406359,4.294874911419203e-05,0.1343088226142935,4.294874911419203e-05,1.342429815327965e-05
4.295874911419204e-05,0.1357157307423394,4.295874911419204e-05,0.1347821108322877,4.295874911419204e-05,1.349042877733917e-05
4.296874911419204e-05,0.1361936856122768,4.296874911419204e-05,0.135256375683538,4.296874911419204e-05,1.351906445349664e-05
4.297874911419204e-05,0.1366723728956932,4.297874911419204e-05,0.1357311089901431,4.297874911419204e-05,1.358533510878298e-05
4.298874911419204e-05,0.1371517918366746,4.298874911419204e-05,0.1362068159915944,4.298874911419204e-05,1.361411945279639e-05
4.299874911419203e-05,0.1376319416781545,4.299874911419203e-05,0.1366829912475105,4.299874911419203e-05,1.368052983889786e-05
4.300874911419204e-05,0.1381128216619094,4.300874911419204e-05,0.1371601372486257,4.300874911419204e-05,1.370946252163431e-05
4.301874911419204e-05,0.1385944310285651,4.301874911419204e-05,0.1376377513039643,4.301874911419204e-05,1.377601233742357e-05
4.302874911419205e-05,0.1390767690175945,4.302874911419205e-05,0.1381163331435582,4.302874911419205e-05,1.380509302944394e-05
4.303874911419205e-05,0.1395598348673198,4.303874911419205e-05,0.138595382837805,4.303874911419205e-05,1.387178197158389e-05
4.304874911419204e-05,0.1400436278149144,4.304874911419204e-05,0.1390753973440121,4.304874911419204e-05,1.390101034334515e-05
4.305874911419205e-05,0.1405281470964029,4.305874911419205e-05,0.1395558795060456,4.305874911419205e-05,1.396783810713013e-05
4.306874911419205e-05,0.1410133919466635,4.306874911419205e-05,0.1400373234963523,4.306874911419205e-05,1.399721382719068e-05
4.307874911419205e-05,0.1414993615994283,4.307874911419205e-05,0.1405192349444236,4.307874911419205e-05,1.406418010811569e-05
4.308874911419206e-05,0.1419860552872847,4.308874911419206e-05,0.1410021052256244,4.308874911419206e-05,1.409370284401164e-05
4.309874911419205e-05,0.1424734722416767,4.309874911419205e-05,0.1414854427673838,4.309874911419205e-05,1.416080733553288e-05
4.310874911419206e-05,0.1429616116929071,4.310874911419206e-05,0.1419697361356725,4.310874911419206e-05,1.419047675321489e-05
4.311874911419206e-05,0.1434504728701366,4.311874911419206e-05,0.1424544965681055,4.311874911419206e-05,1.425771914944962e-05
4.312874911419206e-05,0.143940055001387,4.312874911419206e-05,0.1429402098089647,4.312874911419206e-05,1.428753491339667e-05
4.313874911419206e-05,0.1444303573135409,4.313874911419206e-05,0.143426389918505,4.313874911419206e-05,1.435491490583433e-05
4.314874911419206e-05,0.1449213790323443,4.314874911419206e-05,0.1439135198067312,4.314874911419206e-05,1.438487668115761e-05
4.315874911419207e-05,0.1454131193824068,4.315874911419207e-05,0.1444011163691664,4.315874911419207e-05,1.445239396019057e-05
4.316874911419207e-05,0.1459055775872032,4.316874911419207e-05,0.1448896596689196,4.316874911419207e-05,1.448250141044588e-05
4.317874911419207e-05,0.1463987528690744,4.317874911419207e-05,0.145378669449415,4.317874911419207e-05,1.455015566491845e-05
4.318874911419207e-05,0.1468926444492306,4.318874911419207e-05,0.1458686229141803,4.318874911419207e-05,1.458040845248479e-05
4.319874911419207e-05,0.147387251547748,4.319874911419207e-05,0.1463590426672813,4.319874911419207e-05,1.464819937198123e-05
4.320874911419208e-05,0.1478825733835759,4.320874911419208e-05,0.1468504030398632,4.320874911419208e-05,1.46785971568964e-05
4.321874911419208e-05,0.1483786091745321,4.321874911419208e-05,0.1473422295094793,4.321874911419208e-05,1.474652442927899e-05
4.322874911419208e-05,0.1488753581373093,4.322874911419208e-05,0.1478349935220361,4.322874911419208e-05,1.477706687117394e-05
4.323874911419208e-05,0.1493728194874731,4.323874911419208e-05,0.1483282234414439,4.323874911419208e-05,1.484513018371419e-05
4.324874911419207e-05,0.1498709924394638,4.324874911419207e-05,0.1488223878154287,4.324874911419207e-05,1.487581694115454e-05
